# MJD 5_sigma_depth filter
61617.32644 24.245 r
61617.37013 24.245 r
61617.41303 23.248 i
61618.27363 24.245 r
61618.33484 24.245 r
61618.40873 24.245 r
61619.37433 23.173 u
61619.41615 24.245 r
61621.22275 24.248 g
61621.32414 23.714 i
61621.38669 24.248 g
61622.29728 24.245 r
61622.37333 24.245 r
61625.30382 24.248 g
61625.40270 24.245 r
61626.21251 24.245 r
61626.31299 23.714 i
61627.37402 24.245 r
61628.32955 24.245 r
61628.37258 24.245 r
61630.30038 24.245 r
61631.14920 24.245 r
61631.37721 23.714 i
61631.42209 24.245 r
61634.33552 24.245 r
61634.39333 24.248 g
61635.25594 24.245 r
61636.26412 24.245 r
61636.31299 23.714 i
61637.19749 24.248 g
61638.29124 24.245 r
61638.39797 23.273 i
61639.32360 24.245 r
61644.28734 24.245 r
61645.10689 24.245 r
61645.25308 24.245 r
61645.31209 23.273 i
61648.23366 23.273 i
61648.28782 24.245 r
61648.38907 24.245 r
61649.25565 24.207 g
61649.32169 24.245 r
61650.13365 24.245 r
61650.20183 24.245 r
61650.26299 23.273 i
61651.15959 23.273 i
61651.21344 24.245 r
61651.26321 24.245 r
61651.36903 24.245 r
61652.21081 24.207 g
61652.28091 24.245 r
61654.09003 24.245 r
61654.23992 24.245 r
61655.23487 24.492 g
61656.26779 24.492 g
61658.06949 24.492 g
61658.30439 24.245 r
61659.11145 24.492 g
61659.26032 24.245 r
61660.08552 24.492 g
61660.20355 23.273 i
61661.13375 24.492 g
61661.38013 24.245 r
61662.12169 24.245 r
61662.16992 24.245 r
61663.17803 24.245 r
61668.15252 24.055 r
61668.23271 23.294 i
61671.29247 24.055 r
61672.28780 23.294 i
61673.15627 24.055 r
61677.22285 22.782 u
61677.37712 24.492 g
61678.12265 23.294 i
61678.24722 24.055 r
61678.31777 24.055 r
61679.09877 24.055 r
61679.19691 23.294 i
61679.24378 24.055 r
61680.20194 23.294 i
61680.26137 24.492 g
61680.35413 24.492 g
61681.17035 24.055 r
61681.25782 24.055 r
61682.15310 24.055 r
61682.27016 23.294 i
61682.33575 24.492 g
61683.11145 24.055 r
61684.08758 24.055 r
61684.22396 24.055 r
61685.09802 23.294 i
61685.15080 24.055 r
61685.19399 24.055 r
61688.10245 24.055 r
61689.07521 24.055 r
61690.13707 24.492 g
61691.14156 24.055 r
61691.22167 24.055 r
61693.21104 24.492 g
61693.25568 24.492 g
61694.16868 24.492 g
61694.23319 24.055 r
61695.11052 24.055 r
61695.16865 21.618 y
61695.22412 24.055 r
61696.11676 24.055 r
61697.21777 24.492 g
61701.10692 24.055 r
61702.10831 24.055 r
61702.15338 24.055 r
61702.20067 24.055 r
61704.12910 24.055 r
61704.17157 24.055 r
61704.28350 24.055 r
61705.07169 23.294 i
61705.11516 23.979 r
61705.24876 23.294 i
61706.04954 23.979 r
61706.13931 23.083 u
61706.21442 23.979 r
61707.06941 23.979 r
61707.12918 23.294 i
61707.17152 23.979 r
61709.07545 23.979 r
61709.15157 23.979 r
61710.28009 24.492 g
61711.24563 23.306 i
61712.25441 23.453 r
61713.15453 23.453 r
61715.11775 23.453 r
61717.04390 23.453 r
61717.13983 24.492 g
61718.07094 23.453 r
61719.08356 23.306 i
61720.15439 23.306 i
61721.08824 24.492 g
61722.12215 24.492 g
61722.18500 24.492 g
61723.09661 23.453 r
61725.09839 23.306 i
61726.10775 23.453 r
61726.24845 24.492 g
61730.10814 23.453 r
61732.14559 23.306 i
61734.04109 23.453 r
61734.22120 23.453 r
61735.06825 23.453 r
61735.11384 23.453 r
61738.05833 24.492 g
61738.17875 23.453 r
61739.02215 23.453 r
61739.06443 24.492 g
